course_id,review_platform,title,provider,school,area,subject,price,level,course_length,effort_hours,published_time,time,session_open,low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,review count,review rating,indegree,outdegree,degree,betweenness,closeness,eigenvector,transitivity,constraint,performace (t),performance (t+1),url
CourseTalk-2341,CourseTalk,Python for Genomic Data Science,Coursera,Johns Hopkins University,Data Science,Data Analysis,25,NA,4,4,3,3,TRUE,0,0,1,0,745,1,4,2,2,4,455.5,0,1.53E-05,4.93E-05,0.500039419,4,0,51481
CourseTalk-2344,CourseTalk,Malicious Software and its Underground Economy: Two Sides to Every Story,Coursera,University of London,Computer Science,Software Development,30,NA,NA,NA,0,1,TRUE,0.333333333,0.166666667,0.5,0,1361.166667,6,3.666666667,6,7,13,1608.963668,0.320333678,0.000120178,0.025671536,0.146934146,22,0,214
CourseTalk-2345,CourseTalk,Game Theory,Coursera,Stanford University,Social Sciences,Economics,45,Introductory,8,6,0,1,TRUE,0,0.25,0.75,1.75,433.75,4,4.125,5,5,10,828.4383733,0.219489051,0.000119417,3.05E-05,0.280069323,16.5,9,24
CourseTalk-2345,CourseTalk,Game Theory,Coursera,Stanford University,Social Sciences,Economics,45,Introductory,8,6,0,2,TRUE,0.333333333,0.333333333,0.333333333,0,347,3,3,5,4,9,2300.514552,6.82E-06,4.80E-05,2.70E-05,0.210023671,9,5,24
CourseTalk-2345,CourseTalk,Game Theory,Coursera,Stanford University,Social Sciences,Economics,45,Introductory,8,6,0,3,TRUE,0,0,1,0,278,1,5,1,1,2,0,0,1.52E-05,4.93E-05,1.000039419,5,0,24
CourseTalk-2347,CourseTalk,Managing as a Coach,Coursera,"University of California, Davis",Business,Leadership and Management,30,NA,4,NA,3,3,TRUE,0,1,0,0,326,1,3,2,2,4,254,0,1.52E-05,4.93E-05,0.500039419,3,0,51729
CourseTalk-2352,CourseTalk,Introduction to Thermodynamics: Transferring Energy from Here to There,Coursera,University of Michigan,Physical Science and Engineering,Mechanical Engineering,30,Introductory,8,4.5,0,1,TRUE,0,0,1,1,3048,1,4.5,0,0,0,0,0,1.73E-05,0,0,4.5,0,453
CourseTalk-2352,CourseTalk,Introduction to Thermodynamics: Transferring Energy from Here to There,Coursera,University of Michigan,Physical Science and Engineering,Mechanical Engineering,30,Introductory,8,4.5,0,3,TRUE,0,0,1,0,724,1,5,0,0,0,0,0,4.93E-06,0,0,5,0,453
CourseTalk-2356,CourseTalk,Machine Learning,Coursera,Stanford University,Data Science,Machine Learning,45,NA,11,6,3,1,FALSE,0,0,1,1,348,1,4,1,1,2,0,0.013248112,0.000114639,3.05E-05,1.000069323,4,0,156
CourseTalk-2367,CourseTalk,Responsive Website Tutorial and Examples,Coursera,University of London International Programmes,Computer Science,Mobile and Web Development,30,NA,4,4.5,3,3,TRUE,0,1,0,1,1931,1,3,2,2,4,1023,0,1.51E-05,4.93E-05,0.500039419,3,0,50896
